Title	Journal	Year	Authors	Volum	Issue	Date	Month	file
Antigenic relationships of flaviviruses with undetermined arthropod-borne status	Am J Trop Med Hyg	1982	I. Varelas-Wesley and C. H. Calisher	31	6	1273-84	Nov	internal-pdf://0202952650/Varelas-Wesley-1982-Antigenic relationships of.pdf
Serological evidence for Japanese encephalitis and West Nile viruses in domestic animals of Nepal	Comp Immunol Microbiol Infect Dis	2006	"G. R. Pant, R. A. Lunt, C. L. Rootes and P. W. Daniels"	29	3-Feb	166-75	Mar-May	internal-pdf://0209143867/Pant-2006-Serological evidence for Japanese en.pdf
Dengue infection in neotropical forest mammals	Vector Borne Zoonotic Dis	2009	"B. de Thoisy, V. Lacoste, A. Germain, J. Munoz-Jordan, C. Colon, J. F. Mauffrey, M. Delaval, F. Catzeflis, M. Kazanji, S. Matheus, P. Dussart, J. Morvan, A. A. Setien, X. Deparis and A. Lavergne"	9	2	157-70	Apr	internal-pdf://0310613038/de Thoisy-2009-Dengue infection in neotropical.pdf
"The zoonotic flaviviruses of southern, south-eastern and eastern Asia, and Australasia: the potential for emergent viruses"	Zoonoses Public Health	2009	J. S. Mackenzie and D. T. Williams	56	7-Jun	338-56	Aug	internal-pdf://0341114746/Mackenzie-2009-The zoonotic flaviviruses of so.pdf
Serosurveillance for Japanese Encephalitis and West Nile Viruses in Resident Birds in Hawai ‘i	Journal of wildlife diseases	2010	"N. M. Nemeth, A. M. Bosco-Lauth, R. H. Sciulli, R. B. Gose, M. T. Nagata and R. A. Bowen"	46	2	659-664		internal-pdf://0384014056/Nemeth-2010-Serosurveillance for Japanese Ence.pdf
Molecular epidemiology of Saint Louis encephalitis virus in the Brazilian Amazon: genetic divergence and dispersal	J Gen Virol	2010	"S. G. Rodrigues, M. R. Nunes, S. M. Casseb, A. S. Prazeres, D. S. Rodrigues, M. O. Silva, A. C. Cruz, J. C. Tavares-Neto and P. F. Vasconcelos"	91	Pt 10	2420-7	Oct	internal-pdf://0507614374/Rodrigues-2010-Molecular epidemiology of Saint.pdf
Tickborne encephalitis in naturally exposed monkey (Macaca sylvanus)	Emerging Infectious Diseases	2007	"J. Suss, E. Gelpi, C. Klaus, A. Bagon, E. M. Liebler-Tenorio, H. Budka, B. Stark, W. Muller and H. Hotzel"	13	6	905-907	Jun	internal-pdf://0636536967/Suss-2007-Tickborne encephalitis in naturally.pdf
Bats: important reservoir hosts of emerging viruses	Clin Microbiol Rev	2006	"C. H. Calisher, J. E. Childs, H. E. Field, K. V. Holmes and T. Schountz"	19	3	531-45	Jul	internal-pdf://0781164002/Calisher-2006-Bats_ important reservoir hosts.pdf
An infectious disease of ducks caused by a newly emerged Tembusu virus strain in mainland China	Virology	2011	"P. Yan, Y. Zhao, X. Zhang, D. Xu, X. Dai, Q. Teng, L. Yan, J. Zhou, X. Ji, S. Zhang, G. Liu, Y. Zhou, Y. Kawaoka, G. Tong and Z. Li"	417	1	8-Jan	15-Aug	internal-pdf://0807065092/Yan-2011-An infectious disease of ducks caused.pdf
"Phylogeographic characterization of tick-borne encephalitis virus from patients, rodents and ticks in Slovenia"	PLoS One	2012	"L. Fajs, E. Durmisi, N. Knap, F. Strle and T. Avsic-Zupanc"	7	11	e48420		internal-pdf://0887084272/Fajs-2012-Phylogeographic characterization of.pdf
"Japanese encephalitis viruses from bats in Yunnan, China"	Emerg Infect Dis	2009	"J. L. Wang, X. L. Pan, H. L. Zhang, S. H. Fu, H. Y. Wang, Q. Tang, L. F. Wang and G. D. Liang"	15	6	939-42	Jun	internal-pdf://0973200962/Wang-2009-Japanese encephalitis viruses from b.pdf
"Serological survey for arboviruses in Cordoba Province, Argentina"	Am J Trop Med Hyg	1965	"M. S. Sabattini, R. E. Shope and J. M. Vanella"	14	6	1073-8	Nov	internal-pdf://0997954304/Sabattini-1965-Serological survey for arboviru.pdf
"Surveys for antibodies against mosquitoborne encephalitis viruses in California birds, 1996–2013"	Vector-Borne and Zoonotic Diseases	2016	W. K. Reisen and S. S. Wheeler	16	4	264-282		internal-pdf://1062896167/Reisen-2016-Surveys for antibodies against mos.pdf
The relationships between West Nile and Kunjin Viruses	Emerging Infectious Diseases	2001	"J. H. Scherret, M. Poidinger, J. S. Mackenzie, A. K. Broom, V. Deubel, W. I. Lipkin, T. Briese, E. A. Gould and R. A. Hall"	7	4	697-705	Jul-Aug	internal-pdf://1156684355/Scherret-2001-The relationships between West N.pdf
Epidemiology of tick-borne encephalitis in Japan	Comp Immunol Microbiol Infect Dis	1998	I. Takashima	21	2	81-90	Apr	internal-pdf://1241695188/Takashima-1998-Epidemiology of tick-borne ence.pdf
Dengue virus in bats from southeastern Mexico	Am J Trop Med Hyg	2014	"J. Sotomayor-Bonilla, A. Chaves, O. Rico-Chavez, M. K. Rostal, R. Ojeda-Flores, M. Salas-Rojas, A. Aguilar-Setien, S. Ibanez-Bernal, A. Barbachano-Guerrero, G. Gutierrez-Espeleta, J. L. Aguilar-Faisal, A. A. Aguirre, P. Daszak and G. Suzan"	91	1	129-31	Jul	internal-pdf://1262662286/Sotomayor-Bonil-2014-Dengue virus in bats from.pdf
Prevalence of Antibodies to West Nile Virus and Other Arboviruses among Crested Caracaras (Caracara cheriway) in Florida	Journal of Wildlife Diseases	2009	"N. M. Nemeth, J. F. Dwyer, J. L. Morrison and J. D. Fraser"	45	3	817-822	Jul	internal-pdf://1295084731/Nemeth-2009-Prevalence of Antibodies to West N.pdf
Rodents as Sentinels for the Prevalence of Tick-Borne Encephalitis Virus	Vector-Borne and Zoonotic Diseases	2011	"K. Achazi, D. Ruzek, O. Donoso-Mantke, M. Schlegel, H. S. Ali, M. Wenk, J. Schmidt-Chanasit, L. Ohlmeyer, F. Ruhe, T. Vor, C. Kiffner, R. Kallies, R. G. Ulrich and M. Niedrig"	11	6	641-647	Jun	internal-pdf://1375830838/Achazi-2011-Rodents as Sentinels for the Preva.pdf
Serologic evidence of flavivirus infection in bats in the Yucatan Peninsula of Mexico	J Wildl Dis	2013	"C. Machain-Williams, M. Lopez-Uribe, L. Talavera-Aguilar, J. Carrillo-Navarrete, L. Vera-Escalante, F. Puerto-Manzano, A. Ulloa, J. A. Farfan-Ale, J. Garcia-Rejon, B. J. Blitvich and M. A. Lorono-Pino"	49	3	684-9	Jul	internal-pdf://1552161881/Machain-William-2013-Serologic evidence of fla.pdf
Serologic survey for selected arboviruses and other potential pathogens in wildlife from Mexico	J Wildl Dis	1992	"A. A. Aguirre, R. G. McLean, R. S. Cook and T. J. Quan"	28	3	435-42	Jul	internal-pdf://1589099247/Aguirre-1992-Serologic survey for selected arb.pdf
"Louping ill in goats, Spain, 2011"	Emerg Infect Dis	2012	"A. Balseiro, L. J. Royo, C. P. Martinez, I. G. Fernandez de Mera, U. Hofle, L. Polledo, N. Marreros, R. Casais and J. F. Marin"	18	6	976-8	Jun	"internal-pdf://1823303193/Balseiro-2012-Louping ill in goats, Spain, 201.pdf"
"Siberian subtype tickborne encephalitis virus, Finland"	Emerging Infectious Diseases	2006	"A. E. Jaaskelainen, T. Tikkakoski, N. Y. Uzcategui, A. N. Alekseev, A. Vaheri and O. Vapalahti"	12	10	1568-1571	Oct	internal-pdf://1933176029/Jaaskelainen-2006-Siberian subtype tickborne e.pdf
"Serologic Evidence of Flavivirus Infections in Peridomestic Rodents in Merida, Mexico"	J Wildl Dis	2016	"N. Cigarroa-Toledo, L. G. Talavera-Aguilar, C. M. Baak-Baak, J. E. Garcia-Rejon, S. Hernandez-Betancourt, B. J. Blitvich and C. Machain-Williams"	52	1	168-72	Jan	internal-pdf://1995436635/Cigarroa-Toledo-2016-Serologic Evidence of Fla.pdf
"Serosurvey of Selected Arboviral Pathogens in Free-Ranging, Two-Toed Sloths (Choloepus Hoffmanni) and Three-Toed Sloths (Bradypus Variegatus) in Costa Rica, 2005–07"	Journal of wildlife diseases	2016	"S. Medlin, E. R. Deardorff, C. S. Hanley, C. Vergneau-Grosset, A. Siudak-Campfield, R. Dallwig, A. T. Da Rosa, R. B. Tesh, M. P. Martin and S. C. Weaver"	52	4	883-892		internal-pdf://1995457213/Medlin-2016-Serosurvey of Selected Arboviral P.pdf
"Tick-borne encephalitis 2010: epidemiology, risk areas, and virus strains in Europe and Asia—an overview"	Ticks and tick-borne diseases	2011	J. Süss	2	1	15-Feb		internal-pdf://2163978285/Süss-2011-Tick-borne encephalitis 2010_ epidem.pdf
Kyasanur forest disease: an epidemiological view in India	Rev Med Virol	2006	P. Pattnaik	16	3	151-65	May-Jun	internal-pdf://2478591855/Pattnaik-2006-Kyasanur forest disease_ an epid.pdf
Encephalitis caused by louping ill virus in a group of horses in Ireland	Equine Vet J	1976	"P. J. Timoney, W. J. Donnelly, L. O. Clements and M. Fenlon"	8	3	113-7	Jul	internal-pdf://2482224538/Timoney-1976-Encephalitis caused by louping il.pdf
Tick-borne viruses in Europe	Parasitology Research	2012	Z. Hubalek and I. Rudolf	111	1	Sep-36	Jul	internal-pdf://2488521108/Hubalek-2012-Tick-borne viruses in Europe.pdf
Recent ancestry of Kyasanur Forest disease virus	Emerg Infect Dis	2009	"R. Mehla, S. R. Kumar, P. Yadav, P. V. Barde, P. N. Yergolkar, B. R. Erickson, S. A. Carroll, A. C. Mishra, S. T. Nichol and D. T. Mourya"	15	9	1431-7	Sep	internal-pdf://2600281129/Mehla-2009-Recent ancestry of Kyasanur Forest.pdf
Isolation of St. Louis encephalitis virus from a killer whale	Clin Diagn Virol	1993	"C. Buck, G. P. Paulino, D. J. Medina, G. D. Hsiung, T. W. Campbell and M. T. Walsh"	1	2	109-12	Jul	internal-pdf://2855235267/Buck-1993-Isolation of St. Louis encephalitis.pdf
"Serologic survey for yellow fever and other arboviruses among inhabitants of Rio Branco, Brazil, before and three months after receiving the yellow fever 17D vaccine"	Revista da Sociedade Brasileira de Medicina Tropical	2004	"J. Tavares-Neto, J. Freitas-Carvalho, M. R. T. Nunes, G. Rocha, S. G. Rodrigues, E. Damasceno, R. Darub, S. Viana and P. F. d. C. Vasconcelos"	37	1	6-Jan		internal-pdf://3019163158/Tavares-Neto-2004-Serologic survey for yellow.pdf
Activity Patterns of St. Louis Encephalitis and West Nile Viruses in Free Ranging Birds during a Human Encephalitis Outbreak in Argentina	PLoS One	2016	"L. A. Diaz, A. I. Quaglia, B. S. Konigheim, A. S. Boris, J. J. Aguilar, N. Komar and M. S. Contigiani"	11	8	e0161871		internal-pdf://3356080067/Diaz-2016-Activity Patterns of St. Louis Encep.pdf
Detection of Entebbe Bat Virus After 54 Years	Am J Trop Med Hyg	2015	"R. C. Kading, R. Kityo, T. Nakayiki, J. Ledermann, M. B. Crabtree, J. Lutwama and B. R. Miller"	93	3	475-7	Sep	internal-pdf://3454089871/Kading-2015-Detection of Entebbe Bat Virus Aft.pdf
A comparison of bats and rodents as reservoirs of zoonotic viruses: are bats special?	Proceedings of the Royal Society B: Biological Sciences	2013	"A. D. Luis, D. T. Hayman, T. J. O'Shea, P. M. Cryan, A. T. Gilbert, J. R. Pulliam, J. N. Mills, M. E. Timonin, C. K. Willis and A. A. Cunningham"	280	1756	20122753		internal-pdf://3738438185/Luis-2013-A comparison of bats and rodents as.pdf
West Nile and st. Louis encephalitis viruses antibodies surveillance in captive and free-ranging birds of prey from Argentina	Ecohealth	2014	"A. I. Quaglia, L. A. Diaz, H. Argibay, M. S. Contigiani and M. D. Saggese"	11	4	603-9	Dec	internal-pdf://3803996028/Quaglia-2014-West Nile and st. Louis encephali.pdf
Resource use by the two-toed sloth (Choloepus hoffmanni) and the three-toed sloth (Bradypus variegatus) differs in a shade-grown agro-ecosystem	Journal of Tropical Ecology	2015	"J. E. Mendoza, M. Z. Peery, G. A. Gutierrez, G. Herrera and J. N. Pauli"	31	1	49-55	Jan	internal-pdf://3815453172/Mendoza-2015-Resource use by the two-toed slot.pdf
"Serological Evidence of Widespread Circulation of West Nile Virus and Other Flaviviruses in Equines of the Pantanal, Brazil"	Plos Neglected Tropical Diseases	2014	"A. Pauvolid-Correa, Z. Campos, R. Juliano, J. Velez, R. M. R. Nogueira and N. Komar"	8	2	e2706	Feb	internal-pdf://4022362449/Pauvolid-Correa-2014-Serological Evidence of W.pdf
West Nile virus circulation detected in northern Italy in sentinel chickens	Vector Borne Zoonotic Dis	2007	"A. Rizzoli, R. Rosa, F. Rosso, A. Buckley and E. Gould"	7	3	411-7	Fall	internal-pdf://4088233785/Rizzoli-2007-West Nile virus circulation detec.pdf
