Title	Journal	Year	Authors	Volum	Issue	Date	Month	file
"Tick-borne encephalitis virus, Zealand, Denmark, 2011"	Emerg Infect Dis	2013	"A. Fomsgaard, M. E. Fertner, S. Essbauer, A. Y. Nielsen, S. Frey, P. Lindblom, P. E. Lindgren, R. Bodker, M. Weidmann and G. Dobler"	19	7	1171-3	Jul	internal-pdf://0040337789/Fomsgaard-2013-Tick-borne encephalitis virus.pdf
Epidemiology of tick-borne encephalitis in Japan	Comp Immunol Microbiol Infect Dis	1998	I. Takashima	21	2	81-90	Apr	internal-pdf://0121781648/1-s2.0-S0147957197000246-main.pdf
"Isolation of viruses from wild mammals in West Africa, 1966-1970"	J Wildl Dis	1974	"G. E. Kemp, O. R. Causey, H. W. Setzer and D. L. Moore"	10	3	279-93	Jul	internal-pdf://0138025572/0090-3558-10.3.279.pdf
Antigenic relationships of flaviviruses with undetermined arthropod-borne status	Am J Trop Med Hyg	1982	I. Varelas-Wesley and C. H. Calisher	31	6	1273-84	Nov	internal-pdf://0202952650/Varelas-Wesley-1982-Antigenic relationships of.pdf
Serological evidence for Japanese encephalitis and West Nile viruses in domestic animals of Nepal	Comp Immunol Microbiol Infect Dis	2006	"G. R. Pant, R. A. Lunt, C. L. Rootes and P. W. Daniels"	29	3-Feb	166-75	Mar-May	internal-pdf://0209143867/Pant-2006-Serological evidence for Japanese en.pdf
"The zoonotic flaviviruses of southern, south-eastern and eastern Asia, and Australasia: the potential for emergent viruses"	Zoonoses Public Health	2009	J. S. Mackenzie and D. T. Williams	56	7-Jun	338-56	Aug	internal-pdf://0341114746/Mackenzie-2009-The zoonotic flaviviruses of so.pdf
Serological evidence of USUTU virus occurrence in north-eastern Italy	Zoonoses Public Health	2008	"R. Lelli, G. Savini, L. Teodori, G. Filipponi, A. Di Gennaro, A. Leone, L. Di Gialleonardo, L. Venturi and V. Caporale"	55	7	361-7	Sep	internal-pdf://0386571835/Lelli-2008-Serological evidence of USUTU virus.pdf
Surveillance of tick-borne encephalitis virus in wild birds and ticks in Tomsk city and its suburbs (Western Siberia)	Ticks Tick Borne Dis	2014	"T. P. Mikryukova, N. S. Moskvitina, Y. V. Kononova, I. G. Korobitsyn, M. Y. Kartashov, O. Y. Tyuten Kov, E. V. Protopopova, V. N. Romanenko, E. V. Chausov, S. I. Gashkov, S. N. Konovalova, S. S. Moskvitin, N. L. Tupota, A. O. Sementsova, V. A. Ternovoi and V. B. Loktev"	5	2	145-51	Mar	internal-pdf://0503617664/1-s2.0-S1877959X13001179-main.pdf
"Isolation of Ilheus virus from human beings in Trinidad, West Indies"	Trans R Soc Trop Med Hyg	1962	"L. Spence, C. R. Anderson and W. G. Downs"	56	6	504-9	Nov	internal-pdf://0504701320/1-s2.0-0035920362900743-main.pdf
Bats: important reservoir hosts of emerging viruses	Clin Microbiol Rev	2006	"C. H. Calisher, J. E. Childs, H. E. Field, K. V. Holmes and T. Schountz"	19	3	531-45	Jul	internal-pdf://0622925813/Calisher-2006-Bats_ important reservoir hosts.pdf
