id,virus,host
1,FBS,mice
2,ICR,mice
3,TBE,human
4,WNV,mouse
5,TBEV,cow
6,NSW,Human
7,BHK,Human
8, BTS ,Choloepus hoffmanni
9, BTS ,brown  throated sloth
10, HTS ,Choloepus hoffmanni
11, HTS ,brown  throated sloth
12,BHK,green monkey
13,BHK,Human
14,BHK,Human
15,BHK,mouse
16,Louping ill,sheep
17,Louping ill,sheep
18,Powassan,sheep
19,Powassan,sheep
20,tick  borne encephalitis,sheep
21,tick  borne encephalitis,sheep
22,Omsk hemorrhagic fever,sheep
23,Omsk hemorrhagic fever,sheep
24,Kyasanur Forest disease,sheep
25,Kyasanur Forest disease,sheep
26,TBE,sheep
27,TBE,sheep
28,tick  borne encephalitis,sheep
29,tick  borne encephalitis,sheep
30,Langat,sheep
31,Langat,sheep
32,TBEV,Apodemus flavicollis
33,TBEV,Sciurus vulgaris
34,TBEV,cattle
35,TBEV,Sorex araneus
36,TBEV,sheep
37,TBEV,Erinaceus concolor
38,TBEV,Apodemus sylvaticus
39,TBEV,Myodes glareolus
40,TBEV,Myodes rufocanus
41,TBEV,goat
42,TBEV,Microtus agrestis
43,WNV,mouse
44,WNV,mouse
45,WNV,chicken
46,WNV,rabbit
47,WNV,chicken
48,WNV,rabbit
49,TBE,horse
50,TBE,dog
51,TBE,horse
52,TBE,dog
53,EEE,cattle
54,TBE,monkey
55,TBEV,M arvalis
56,TBEV,M arvalis
57,KFDV,human
58,TMEV,Alectoris rufa
59,TMEV,turkey
60,TMEV,Phasianus colchicus
61,Israel turkey meningoencephalomyelitis virus,Alectoris rufa
62,Israel turkey meningoencephalomyelitis virus,turkey
63,Israel turkey meningoencephalomyelitis virus,Phasianus colchicus
64,BAGV,Alectoris rufa
65,BAGV,turkey
66,BAGV,Phasianus colchicus
67,BAGV,Alectoris rufa
68,BAGV,turkey
69,BAGV,Phasianus colchicus
70,WNV,Canis latrans
71,TBE,dog
72,TBEV,human
73,TBEV,monkey
74,TBEV,monkey
75,WNV,Rousettus leschenaultii
76,EEE virus,cattle
77,EEE virus,cattle
78,TBEV,sheep
79,SEPV,human
80,SEPV,sheep
81,ZIKV,human
82,ZIKV,human
83,West Nile virus,Weasel
84,West Nile virus,Lemur catta
85,West Nile virus,Ring  tailed lemur
86,West Nile virus,Propithecus verreauxi
87,West Nile virus,Barbary macaque
88,West Nile virus,Macaca sylvanus
89,West Nile virus,Propithecus coquereli
90,West Nile virus,Brown lemur
91,West Nile virus,Lepilemur edwardsi
92,West Nile virus,Papio cynocephalus
93,LOUPING ill,cattle
94,LOUPING ill,sheep
95,Louping ill Virus,cattle
96,Louping ill Virus,sheep
97,West Nile Virus,human
98,West Nile virus,human
99,tick  borne encephalitis,cattle
100,USUV,human
101,TBEV,red deer
102,VSV,Didelphis virginiana
103,louping ill virus,pig
104,louping ill virus,sheep
105,louping ill virus,mice
106, DENV ,human
107,dengue virus,human
108,WNV,chicken
109,CVL,horse
110,JEV,horse
111,WEE,Horse
112,WNV,red fox
113,WNV,red fox
