virus	host	label
0090-3558-10.3.279.pdf::span:25217:25226	0090-3558-10.3.279.pdf::span:25265:25270	1
1-s2.0-S1877959X13000587-main.pdf::span:21208:21210	1-s2.0-S1877959X13000587-main.pdf::span:21212:21216	1
1-s2.0-S1877959X13000587-main.pdf::span:21270:21272	1-s2.0-S1877959X13000587-main.pdf::span:21212:21216	1
1-s2.0-S1877959X13001179-main.pdf::span:11607:11610	1-s2.0-S1877959X13001179-main.pdf::span:11668:11676	1
1-s2.0-S1877959X13001179-main.pdf::span:11835:11838	1-s2.0-S1877959X13001179-main.pdf::span:11668:11676	1
0090-3558-10.3.279.pdf::span:25217:25226	0090-3558-10.3.279.pdf::span:25255:25259	1
059.041.0109.pdf::span:14260:14262	059.041.0109.pdf::span:14217:14227	1
Achazi-2011-Rodents as Sentinels for the Preva.pdf::span:6133:6135	Achazi-2011-Rodents as Sentinels for the Preva.pdf::span:6246:6250	1
Achazi-2011-Rodents as Sentinels for the Preva.pdf::span:6252:6254	Achazi-2011-Rodents as Sentinels for the Preva.pdf::span:6246:6250	1
Achazi-2011-Rodents as Sentinels for the Preva.pdf::span:6281:6283	Achazi-2011-Rodents as Sentinels for the Preva.pdf::span:6246:6250	1
059.041.0109.pdf::span:14260:14262	059.041.0109.pdf::span:14104:14112	1
09-642913p460.pdf::span:5772:5781	09-642913p460.pdf::span:6216:6221	1
09-642913p460.pdf::span:5772:5781	09-642913p460.pdf::span:5875:5879	1
09-642913p460.pdf::span:6158:6167	09-642913p460.pdf::span:6216:6221	1
09-642913p460.pdf::span:6158:6167	09-642913p460.pdf::span:5875:5879	1
1040638711433325.pdf::span:19270:19284	1040638711433325.pdf::span:19232:19245	1
1040638711433325.pdf::span:19270:19284	1040638711433325.pdf::span:19218:19229	1
1040638712452723.pdf::span:2215:2218	1040638712452723.pdf::span:2158:2172	1
1040638712452723.pdf::span:2215:2218	1040638712452723.pdf::span:2034:2053	1
1-s2.0-S1090023313005315-main.pdf::span:13031:13041	1-s2.0-S1090023313005315-main.pdf::span:13110:13126	1
1-s2.0-S1090023313005315-main.pdf::span:13031:13041	1-s2.0-S1090023313005315-main.pdf::span:13059:13075	1
"Cao-2011-Tembusu virus in ducks, china.pdf::span:9056:9059"	"Cao-2011-Tembusu virus in ducks, china.pdf::span:9091:9094"	1
Cigarroa-Toledo-2016-Serologic Evidence of Fla.pdf::span:13290:13292	Cigarroa-Toledo-2016-Serologic Evidence of Fla.pdf::span:13176:13179	1
de Thoisy-2009-Dengue infection in neotropical.pdf::span:31601:31604	de Thoisy-2009-Dengue infection in neotropical.pdf::span:31716:31720	1
Hayes-2009-Zika virus outside Africa.pdf::span:12003:12006	Hayes-2009-Zika virus outside Africa.pdf::span:12011:12015	1
Hubalek-2008-Serologic survey of potential ver.pdf::span:11046:11048	Hubalek-2008-Serologic survey of potential ver.pdf::span:11121:11131	1
1-s2.0-S1090023313005315-main.pdf::span:13031:13041	1-s2.0-S1090023313005315-main.pdf::span:13084:13107	1
1-s2.0-S1090023313005315-main.pdf::span:14:24	1-s2.0-S1090023313005315-main.pdf::span:67:90	1
1-s2.0-S1090023313005315-main.pdf::span:14:24	1-s2.0-S1090023313005315-main.pdf::span:42:58	1
1-s2.0-S1090023313005315-main.pdf::span:14:24	1-s2.0-S1090023313005315-main.pdf::span:93:109	1
1-s2.0-S1090023313005315-main.pdf::span:14:24	1-s2.0-S1090023313005315-main.pdf::span:378:401	1
1-s2.0-S1090023313005315-main.pdf::span:14:24	1-s2.0-S1090023313005315-main.pdf::span:353:369	1
Hubalek-2008-Serologic survey of potential ver.pdf::span:18893:18895	Hubalek-2008-Serologic survey of potential ver.pdf::span:18832:18842	1
Hubalek-2008-Serologic survey of potential ver.pdf::span:19426:19428	Hubalek-2008-Serologic survey of potential ver.pdf::span:19357:19373	1
0090-3558-10.3.279.pdf::span:24452:24465	0090-3558-10.3.279.pdf::span:24486:24489	1
0090-3558-10.3.279.pdf::span:24530:24532	0090-3558-10.3.279.pdf::span:24486:24489	1
1-s2.0-0035920362900743-main.pdf::span:144:155	1-s2.0-0035920362900743-main.pdf::span:162:166	1
1-s2.0-S1090023313005315-main.pdf::span:14:24	1-s2.0-S1090023313005315-main.pdf::span:404:420	1
1-s2.0-S1090023313005315-main.pdf::span:1464:1474	1-s2.0-S1090023313005315-main.pdf::span:1588:1604	1
1-s2.0-S1090023313005315-main.pdf::span:1464:1474	1-s2.0-S1090023313005315-main.pdf::span:1666:1689	1
1-s2.0-S1090023313005315-main.pdf::span:1464:1474	1-s2.0-S1090023313005315-main.pdf::span:1692:1708	1
1-s2.0-S1090023313005315-main.pdf::span:325:335	1-s2.0-S1090023313005315-main.pdf::span:67:90	1
1-s2.0-S1090023313005315-main.pdf::span:325:335	1-s2.0-S1090023313005315-main.pdf::span:42:58	1
1-s2.0-S1090023313005315-main.pdf::span:325:335	1-s2.0-S1090023313005315-main.pdf::span:93:109	1
1-s2.0-S1090023313005315-main.pdf::span:325:335	1-s2.0-S1090023313005315-main.pdf::span:378:401	1
1-s2.0-S1090023313005315-main.pdf::span:325:335	1-s2.0-S1090023313005315-main.pdf::span:353:369	1
1-s2.0-S1090023313005315-main.pdf::span:325:335	1-s2.0-S1090023313005315-main.pdf::span:404:420	1
1-s2.0-S0147957197000246-main.pdf::span:14557:14559	1-s2.0-S0147957197000246-main.pdf::span:14576:14578	1
1-s2.0-S0147957197000246-main.pdf::span:14562:14567	1-s2.0-S0147957197000246-main.pdf::span:14576:14578	1
