id,virus,host,probability_positive
1,WNV,Rousettus leschenaultii,0.9916422090000001
2,VRL,Cricetomys gambianus,0.9967150229999999
3,VRL,giant rat,0.9967150229999999
4,Usutu virus,Dendrocopos major,0.9778846520000001
5,Usutu virus,Pyrrhula pyrrhula,0.9778846520000001
6,Usutu virus,great spotted woodpecker,0.9778846520000001
7,WNV,human,0.996435718
8,USUV,human,0.996435718
9,Tembusu virus,turkey,0.811348455
10,Bagaza virus,turkey,0.7697305259999999
11,Tembusu virus,turkey,0.811348455
12,Tembusu virus,turkey,0.811348455
13,Ntaya virus,turkey,0.7697305259999999
14,Bagaza virus,turkey,0.7697305259999999
15,Ilheus virus,turkey,0.7697305259999999
16,Dengue,human,0.7697305259999999
17,Japanese encephalitis,human,0.7697305259999999
18,DENV,human,0.811348455
19,JEV,human,0.811348455
20,Chikungunya,human,0.7697305259999999
21,West Nile virus,Panthera uncia,0.5
22,JEV,pig,0.7697305259999999
23,TBEV,shoveler,0.21137518
24,TBEV,Vanellus vanellus,0.21137518
25,TBEV,European pied flycatcher,0.245508239
26,TBEV,Phylloscopus trochilus,0.5
27,TBEV,willow tit,0.21137518
28,TBEV,mallard,0.21137518
29,TBEV,starling,0.21137518
30,TBEV,Corvus monedula,0.21137518
31,TBEV,Phylloscopus proregulus,0.21137518
32,TBEV,waxwing,0.21137518
33,TBEV,Ficedula hypoleuca,0.245508239
34,TBEV,teal,0.21137518
35,TBEV,Parus montanus,0.21137518
36,TBEV,Dendrocopos major,0.21137518
37,TBEV,willow warbler,0.5
38,TBEV,goldfinch,0.21137518
39,TBEV,Anas platyrhynchos,0.21137518
40,TBEV,Sturnus vulgaris,0.21137518
41,TBEV,Anas crecca,0.21137518
42,TBEV,coal tit,0.21137518
43,TBEV,pigeon,0.5
44,TBEV,Riparia riparia,0.5
45,TBEV,Carduelis carduelis,0.21137518
46,TBEV,willow warbler,0.5
47,TBEV,Phylloscopus collybita,0.5
48,TBEV,Parus ater,0.21137518
49,TBEV,Columba livia,0.5
50,TBEV,Mergus merganser,0.21137518
51,TBEV,Pyrrhula pyrrhula,0.21137518
52,Usutu virus,Pyrrhula pyrrhula,0.811348455
53,Usutu virus,Dendrocopos major,0.7466977290000001
54,Usutu virus,great spotted woodpecker,0.9166542679999999
55,Pixuna,Zonotrichia capensis,0.245508239
56,Pixuna,Coryphistera alaudina,0.7697305259999999
57,Pixuna,Chloroceryle americana,0.7697305259999999
58,Pixuna,Pseudoseisura lophotes,0.7697305259999999
59,Pixuna,Machetornis rixosa,0.7697305259999999
60,Pixuna,Passer domesticus,0.521006723
61,Pixuna,Guira guira,0.7697305259999999
62,Mayaro,Zonotrichia capensis,0.521006723
63,Mayaro,Coryphistera alaudina,0.7697305259999999
64,Mayaro,Chloroceryle americana,0.7697305259999999
65,Mayaro,Pseudoseisura lophotes,0.7697305259999999
66,Mayaro,Machetornis rixosa,0.7697305259999999
67,Mayaro,Passer domesticus,0.7697305259999999
68,Mayaro,Guira guira,0.7697305259999999
69,Bluetongue,Xerus erythropus,0.21137518
70,Uganda S,Xerus erythropus,0.811348455
71,Lebombo,Xerus erythropus,0.21137518
72,Dakar bat,Xerus erythropus,0.21137518
73,West Nile,Xerus erythropus,0.811348455
74,Semliki Forest,Xerus erythropus,0.535475279
75,TBEV,human,0.92989707
76,TBE,human,0.911581805
77,WNV,mouse,0.5
78,West Nile virus,house sparrow,0.991338518
79,West Nile virus,Passer domesticus,0.991338518
80,Powassan virus,Peromyscus leucopus,0.971334661
81,Powassan virus,mouse,0.971334661
82,LIV,human,0.7697305259999999
83,tick  borne encephalitis virus,Clethrionomys glareolus,0.971334661
84,tick  borne encephalitis virus,Apodemus flavicollis,0.971334661
85,SINV,redwing,0.7697305259999999
86,TBEV,M arvalis,0.7697305259999999
87,KFD virus,human,0.977576962
88, KFDV ,human,0.991338518
89,DENV,human,0.92989707
90,DENV,Marmosa murina,0.9988415759999999
91,West Nile,human,0.971334661
92,Una virus,mice,0.5
93,USUV,human,0.996435718
94,KFDV,monkeys,0.7697305259999999
95,Tembusu virus,Chicken,0.971334661
96,WNV,Elaenia martinica,0.767362572
97,WNV,Caribbean elaenia,0.767362572
98,WNV,Elaenia martinica,0.971334661
99,WNV,Caribbean elaenia,0.971334661
100,WNV,Ciconia ciconia,0.9116478570000001
101,WNV,Corvus corone cornix,0.911581805
102,WNV,mute swan,0.911581805
103,WNV,Cygnus olor,0.911581805
104,TBE virus,cattle,0.97136427
105,JEV,human,0.811348455
106,BAGV,red  legged partridge,0.963457082
107,BAGV,common pheasant,0.963457082
108,West Nile virus,human,0.9778846520000001
109,USUTU virus,chicken,0.7697305259999999
110,West Nile,chicken,0.7697305259999999
111,tick  borne encephalitis,chicken,0.7697305259999999
112,TBEV,reed warbler,0.978352628
113,TBEV,reed warbler,0.978352628
114,Pixuna,M bonariensis,0.7697305259999999
115,JEV,swine,0.767362572
116,JEV,swine,0.9102092140000001
117,Tembusu,drome,0.9116732940000001
118,Tembusu,duck,0.9116732940000001
119,BYD,drome,0.9116732940000001
120,BYD,duck,0.9116732940000001
121,Powassan virus,monkeys,0.7697305259999999
122,KFDV,monkeys,0.9916422090000001
123,DENV,monkey,0.9885914640000001
