Species name,,Common names (Eng),Common names (Eng) 2,Common names (Eng) 3,Common names (Eng) 4,Common names (Eng) 5,Common names (Eng) 6,Common names (Eng) 7,Common names (Eng) 8,Common names (Eng) 9,,Common names (Fre),,,,,Common names (Spa),,,,,,,,,,,,,
Abditomys latidens,,Luzon Broad-toothed Rat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abeillia abeillei,,Emerald-chinned Hummingbird,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abeomelomys sevia,,Menzies' Mouse, Menzies's Mouse, Highland Brush Mouse, Papuan Abeomelomys,,,,,,,,,,,,,,,,,,,,,,,,,
Abrawayaomys ruschii,,Ruschi's Rat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrocoma bennettii,,Bennett's Chinchilla Rat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrocoma boliviensis,,Bolivian Chinchilla Rat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrocoma budini,,Budin's Chinchilla Rat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrocoma cinerea,,Ashy Chinchilla Rat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrocoma famatina,,Famatina Chinchilla Rat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrocoma shistacea,,Sierra Del Tontal Chinchilla Rat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrocoma uspallata,,Uspallata Chinchilla Rat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrocoma vaccarum,,Mendozan Chinchilla Rat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abroscopus albogularis,,Rufous-faced Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abroscopus schisticeps,,Black-faced Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abroscopus superciliaris,,Yellow-bellied Warbler, Yellow-belled Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrothrix andinus,,Andean Akodont, Andean Altiplano Mouse, Andean Grass Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrothrix illutea,,Gray Akodont, Gray Grass Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrothrix jelskii,,Jelski's Altiplano Mouse, Ornate Akodont, Ornate Grass Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrothrix lanosus,,Woolly Grass Mouse, Woolly Akodont,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrothrix longipilis,,Long-haired Akodont, Long-haired Grass Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrothrix olivaceus,,Olive Grass Mouse, Olive-coloured Akodont,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrothrix sanborni,,Sanborn's Grass Mouse, Sanborn's Akodont,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aburria aburri,,Wattled Guan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthagenys rufogularis,,Spiny-cheeked Honeyeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthidops bairdi,,Peg-billed Finch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthisitta chloris,,Rifleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza apicalis,,Inland Thornbill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza chrysorrhoa,,Yellow-rumped Thornbill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza ewingii,,Tasmanian Thornbill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza inornata,,Western Thornbill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza iredalei,,Slender-billed Thornbill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza katherina,,Mountain Thornbill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza lineata,,Striated Thornbill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza murina,,Papuan Thornbill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza nana,,Yellow Thornbill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza pusilla,,Brown Thornbill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza reguloides,,Buff-rumped Thornbill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza robustirostris,,Slaty-backed Thornbill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthiza uropygialis,,Chestnut-rumped Thornbill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthorhynchus superciliosus,,Western Spinebill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthorhynchus tenuirostris,,Eastern Spinebill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthornis magna,,Scrubtit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter albogularis,,Pied Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter badius,,Shikra,,,,,,,,,,Epervier shikra,,,,,,,,,,,,,,,,,,
Accipiter bicolor,,Bicolored Hawk, Bicolored Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter brachyurus,,New Britain Sparrowhawk, Bismarcks Sparrowhawk, Grey Sparrowhawk,,,,,,,,,,,,,Gavilancito de Nueva Bretaña,,,,,,,,,,,,,
Accipiter brevipes,,Levant Sparrowhawk,,,,,,,,,,Epervier à pieds courts,,,,,,,,,,,,,,,,,,
Accipiter butleri,,Nicobar Sparrowhawk, Nicobar Shikra,,,,,,,,,,,,,,Gavilán de Nicobar,,,,,,,,,,,,,
Accipiter castanilius,,Chestnut-flanked Sparrowhawk,,,,,,,,,,Autour à flancs roux,,,,,,,,,,,,,,,,,,
Accipiter cirrocephalus,,Collared Sparrowhawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter collaris,,Semi-collared Hawk, Semi-collared Sparrowhawk, Semi-collared Hawk,,,,,,,,,,,,,Azer Semicollarejo, Gavilán Acollarado, Gavilancito Torcaz,,,,,,,,,,,
Accipiter cooperii,,Cooper's Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter erythrauchen,,Rufous-necked Sparrowhawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter erythropus,,Red-legged Sparrowhawk, Western Little Sparrowhawk,,,,,,,,,Epervier de Hartlaub,,,,,,,,,,,,,,,,,,
Accipiter fasciatus,,Brown Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter francesiae,,Frances's Sparrowhawk, Frances's Goshawk,,,,,,,,,Epervier de Frances,,,,,,,,,,,,,,,,,,
Accipiter gentilis,,Northern Goshawk, Eurasian Goshawk, Goshawk,,,,,,,,Autour des palombes,,,,,,,,,,,,,,,,,,
Accipiter griseiceps,,Sulawesi Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter gularis,,Japanese Sparrowhawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter gundlachi,,Gundlach's Hawk,,,,,,,,,,,,,,,Gavilán Cubano,,,,,,,,,,,,,
Accipiter haplochrous,,White-bellied Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter henicogrammus,,Moluccan Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter henstii,,Henst's Goshawk,,,,,,,,,,Autour de Henst,,,,,Azor Malgache,,,,,,,,,,,,,
Accipiter hiogaster,,Variable Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter imitator,,Imitator Goshawk, Imitator Goshawk,,,,,,,,,,,,,,Gavilán Imitador,,,,,,,,,,,,,
Accipiter luteoschistaceus,,Slaty-backed Goshawk, Slaty-mantled Goshawk, Slaty-backed Goshawk,,,,,,,,,,,,,Gavilán de Nueva Bretaña,,,,,,,,,,,,,
Accipiter madagascariensis,,Madagascar Sparrowhawk,,,,,,,,,,Épervier de Madagascar, Epervier de Madagascar,,,,Gavilán Malgache,,,,,,,,,,,,,
Accipiter melanochlamys,,Black-mantled Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter melanoleucus,,Black Sparrowhawk, Black Sparrowhawk,,,,,,,,,Autour noir,,,,,,,,,,,,,,,,,,
Accipiter meyerianus,,Meyer's Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter minullus,,Little Sparrowhawk,,,,,,,,,,Epervier minule,,,,,,,,,,,,,,,,,,
Accipiter nanus,,Dwarf Sparrowhawk, Dwarf Sparrowhawk,,,,,,,,,,,,,,Gavilancito de Célebes,,,,,,,,,,,,,
Accipiter nisus,,Eurasian Sparrowhawk, Sparrowhawk, European Sparrowhawk,,,,,,,,Epervier d'Europe,,,,,,,,,,,,,,,,,,
Accipiter novaehollandiae,,Grey Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter ovampensis,,Ovambo Sparrowhawk, Ovambo Sparrowhawk,,,,,,,,,Epervier de l'Ovampo,,,,,,,,,,,,,,,,,,
Accipiter poliocephalus,,Grey-headed Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
